rule_type,rule_name,folds,f1_mean,f1_std,precision_mean,recall_mean,accuracy_mean,tp_total,fp_total,tn_total,fn_total,n_folds_successful
single,anom_swh_p75_trend_5 > threshold,6,0.4947575020954065,0.032803391031172115,0.4488808196085847,0.5675919913419912,0.7817351598173515,237,294,1475,184,6
single,anom_swh_min_persistence_2 > threshold,6,0.4945360607504286,0.08170042098449902,0.44049813952633415,0.6206403318903319,0.7420091324200913,271,415,1354,150,6
single,anom_swh_mean_deseasonalized_detrended_abs_change_7 > threshold,6,0.49422133557701037,0.04836948176007156,0.4471869980209977,0.5879473304473305,0.7675799086757991,251,339,1430,170,6
single,anom_swh_mean_deseasonalized_abs_change_7 > threshold,6,0.49422133557701037,0.04836948176007156,0.4471869980209977,0.5879473304473305,0.7675799086757991,251,339,1430,170,6
single,anom_swh_p75_rolling_mean_3 > threshold,6,0.4941995094571878,0.08347758631244051,0.41972073044455965,0.6092460317460316,0.7625570776255709,263,362,1407,158,6
single,anom_swh_p75_deseasonalized_abs_change_7 > threshold,6,0.493858905589029,0.06470217996698596,0.5058198166380038,0.4948737373737373,0.8100456621004567,213,208,1561,208,6
single,anom_swh_p75_deseasonalized_detrended_abs_change_7 > threshold,6,0.493858905589029,0.06470217996698596,0.5058198166380038,0.4948737373737373,0.8100456621004567,213,208,1561,208,6
single,anom_swh_median_deseasonalized_rolling_mean_3 > threshold,6,0.49383990024722285,0.0839313249565737,0.4466993131427655,0.6441792929292929,0.7356164383561644,286,444,1325,135,6
single,anom_swh_median_deseasonalized_persistence_3 > threshold,6,0.49359416569638653,0.08387617970106556,0.4464559637704963,0.6441792929292929,0.7351598173515982,286,445,1324,135,6
single,anom_swh_mean_deseasonalized_persistence_3 > threshold,6,0.4932736319410283,0.08360945307709254,0.416868798676199,0.6603607503607504,0.7328767123287672,292,456,1313,129,6
single,anom_swh_p75_persistence_3 > threshold,6,0.4931087328093751,0.08678806408113564,0.4136813206460919,0.6309632034632034,0.7493150684931505,270,398,1371,151,6
single,anom_swh_max_trend_5 > threshold,6,0.4928218461545994,0.02071672711941357,0.46824639511907523,0.5631908369408369,0.769406392694064,245,329,1440,176,6
