rule_type,rule_name,folds,f1_mean,f1_std,precision_mean,recall_mean,accuracy_mean,tp_total,fp_total,tn_total,fn_total,n_folds_successful,run,source_file,combination_id,type,description,features,thresholds,f1_score,mean_loss,max_loss,zero_prob,std_loss,min_loss,p99_loss,mean_events,std_events,p99_events,max_events,mean_tp,mean_fp,mean_fn,p99_tp,p99_fp,p99_fn,mean_tp_cost,mean_fp_cost,mean_fn_cost,p99_tp_cost,p99_fp_cost,p99_fn_cost,obs_tp,obs_fp,obs_tn,obs_fn,obs_precision,obs_recall,obs_accuracy,obs_f1,method,rule_features,min_days,n_fishermen,daily_wage,n_simulations,block_length,window_days,trigger_features,trigger_thresholds,n_jobs,obs_mean_yearly_loss,obs_yearly_losses_by_year,rule_description
and_2,anom_swh_p80_trend_3 > t1 AND anom_swh_median > t2,6.0,0.4184443830741087,0.1029805708032178,0.7269050701408296,0.3190498148137204,0.7931506849315069,178.0,89.0,1559.0,364.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_p25_persistence_5 > threshold,6.0,0.4184176410347395,0.0622976584076279,0.2940665547907032,0.819910168568429,0.4278538812785388,444.0,1155.0,493.0,98.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_p80_deseasonalized_detrended_persistence_7 > threshold,6.0,0.4184060088157563,0.0592739308325714,0.2780910634237695,0.8790714201532309,0.3963470319634703,479.0,1259.0,389.0,63.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_p25_deseasonalized_persistence_7 > threshold,6.0,0.4183413754323574,0.0589252630051376,0.2825184932642137,0.8579432578537564,0.4095890410958904,463.0,1214.0,434.0,79.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_mean_deseasonalized_persistence_14 > threshold,6.0,0.4182500407812154,0.0685793680412087,0.287774856714273,0.8172548374621896,0.4315068493150685,440.0,1143.0,505.0,102.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_p80_deseasonalized_rolling_mean_7 > threshold,6.0,0.4181691628728949,0.0593080207385729,0.2782701345736487,0.8755155514125831,0.3981735159817352,477.0,1253.0,395.0,65.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_p80_persistence_7 > threshold,6.0,0.4181045828830331,0.05827197877032,0.2955298819625037,0.799333539497105,0.4529680365296804,426.0,1082.0,566.0,116.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_sd_persistence_14_lag_14 > threshold,6.0,0.4177618777120004,0.0890615791350385,0.2798276713709686,0.8454670947191215,0.4200913242009131,464.0,1192.0,456.0,78.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_max_deseasonalized_persistence_7 > threshold,6.0,0.4177285921839366,0.0622210181087571,0.2809528730051115,0.8433931421656782,0.419634703196347,466.0,1195.0,453.0,76.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_mean_trend_14 > threshold,6.0,0.4176812299389019,0.0587896641001269,0.2915421055897005,0.7696042837417543,0.4698630136986301,425.0,1044.0,604.0,117.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_max_persistence_14 > threshold,6.0,0.4175682527031166,0.0658419259022503,0.2899060638695437,0.8214952396850815,0.4255707762557077,440.0,1156.0,492.0,102.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
majority_3,"Majority of anom_swh_p80_abs_change_5, anom_swh_p80_deseasonalized_detrended_trend_14, anom_swh_p80_deseasonalized_trend_14",6.0,0.4175410382532635,0.0526903844155904,0.3001471173845603,0.7038807810389734,0.5210045662100456,388.0,895.0,753.0,154.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
majority_3,"Majority of anom_swh_p80_deseasonalized_detrended_trend_14, anom_swh_p80_deseasonalized_trend_14, anom_swh_p80_deseasonalized_persistence_2",6.0,0.4175410382532635,0.0526903844155904,0.3001471173845603,0.7038807810389734,0.5210045662100456,388.0,895.0,753.0,154.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piecewise,anom_swh_p80_deseasonalized_detrended_trend_14 > t1 if anom_swh_p80_deseasonalized_trend_14 > t2 else anom_swh_p80_deseasonalized_detrended_trend_14 > t3,6.0,0.4175410382532635,0.0526903844155904,0.3001471173845603,0.7038807810389734,0.5210045662100456,388.0,895.0,753.0,154.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_p80_deseasonalized_detrended_trend_14 > threshold,6.0,0.4175410382532635,0.0526903844155904,0.3001471173845603,0.7038807810389734,0.5210045662100456,388.0,895.0,753.0,154.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_p80_deseasonalized_trend_14 > threshold,6.0,0.4175410382532635,0.0526903844155904,0.3001471173845603,0.7038807810389734,0.5210045662100456,388.0,895.0,753.0,154.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_p75_deseasonalized_detrended_trend_14 > threshold,6.0,0.4174869561254365,0.0540789991046011,0.3000810989588453,0.7060221044987692,0.5200913242009132,390.0,899.0,749.0,152.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_p75_deseasonalized_trend_14 > threshold,6.0,0.4174869561254365,0.0540789991046011,0.3000810989588453,0.7060221044987692,0.5200913242009132,390.0,899.0,749.0,152.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_p75_deseasonalized_detrended_persistence_7 > threshold,6.0,0.4174823254021656,0.0589385261022088,0.2782724081113183,0.8731126387912238,0.3981735159817351,476.0,1252.0,396.0,66.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_p80_deseasonalized_persistence_7 > threshold,6.0,0.4174766137734831,0.059185294396766,0.2798947721638441,0.8650988847459163,0.4031963470319635,472.0,1237.0,411.0,70.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_p80_deseasonalized_detrended_rolling_mean_14 > threshold,6.0,0.4174498136239811,0.0648954650742207,0.2869319904388763,0.8199718560188988,0.4301369863013698,441.0,1147.0,501.0,101.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_p80_deseasonalized_detrended_persistence_14 > threshold,6.0,0.4174498136239811,0.0648954650742207,0.2869319904388763,0.8199718560188988,0.4301369863013698,441.0,1147.0,501.0,101.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_min_deseasonalized_detrended_persistence_5 > threshold,6.0,0.4173291510944557,0.0755775352903536,0.2888540082362342,0.7685846348242126,0.4739726027397261,432.0,1042.0,606.0,110.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_p25_trend_14 > threshold,6.0,0.417240559973099,0.0619621593149466,0.2959071745115478,0.7528338531746267,0.4808219178082192,418.0,1013.0,635.0,124.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_p80_persistence_3_lag_1 > threshold,6.0,0.4172384135114411,0.0666964674635008,0.2969564071445484,0.7528348823520529,0.478538812785388,426.0,1026.0,622.0,116.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_p80_rolling_mean_3_lag_1 > threshold,6.0,0.4172384135114411,0.0666964674635008,0.2969564071445484,0.7528348823520529,0.478538812785388,426.0,1026.0,622.0,116.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_min_deseasonalized_detrended_trend_5_lag_1 > threshold,6.0,0.417028060434834,0.0479207345860654,0.3312975608778432,0.6969490396313739,0.51324200913242,397.0,921.0,727.0,145.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_min_deseasonalized_trend_5_lag_1 > threshold,6.0,0.417028060434834,0.0479207345860654,0.3312975608778432,0.6969490396313739,0.51324200913242,397.0,921.0,727.0,145.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_p80_rolling_mean_7 > threshold,6.0,0.4166456776083755,0.0582448286097008,0.2968309791635096,0.7889168728304382,0.45662100456621,421.0,1069.0,579.0,121.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_p80_deseasonalized_rolling_mean_14 > threshold,6.0,0.4164746232642185,0.0673156450477683,0.2847304314973886,0.8256663004633432,0.4228310502283105,445.0,1167.0,481.0,97.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_min_deseasonalized_persistence_7 > threshold,6.0,0.4164393815489633,0.0594585237757812,0.278440040564595,0.8732383625803563,0.3940639269406392,473.0,1258.0,390.0,69.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_sd_deseasonalized_trend_7_lag_1 > threshold,6.0,0.4163983150003709,0.0424787859734903,0.3770109697534772,0.5599796347618382,0.6082191780821918,318.0,634.0,1014.0,224.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_sd_deseasonalized_detrended_trend_7_lag_1 > threshold,6.0,0.4163983150003709,0.0424787859734903,0.3770109697534772,0.5599796347618382,0.6082191780821918,318.0,634.0,1014.0,224.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_median_deseasonalized_persistence_7 > threshold,6.0,0.416052434461312,0.0586674544955097,0.2812273649034874,0.8469654531236767,0.4123287671232877,462.0,1207.0,441.0,80.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
