date,estimated_probability,calibrated_probability,optimal_threshold,predicted_event,observed_event,feature_set,lr_variant,cv_f1_score
2024-06-20,0.0035749959409641773,0.002185238916790792,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-06-21,0.002502604190556717,0.0014123197633711913,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-06-22,0.0038788266643772482,0.0023035060606424462,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-06-23,0.010048513139533376,0.007314103204328932,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-06-24,0.0073851815292720465,0.005114470772423163,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-06-25,0.0034886789693526943,0.002040036462549537,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-06-26,0.002524422361587493,0.0013918663219705384,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-06-27,0.0030746867444123127,0.0017584076532194167,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-06-28,0.0029791122026080904,0.0017157672993522207,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-06-29,0.00198480542010775,0.001068793214063501,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-06-30,0.0021374902417004354,0.0011618868111717513,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-07-01,0.002034236631517259,0.0011035348586017674,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-07-02,0.009128148617849696,0.006871779570918223,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-07-03,0.03671832886748789,0.04095233655491448,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-07-04,0.024999250705623716,0.023598038408961602,0.05819999999999996,0,1,GLOBAL,L2,0.31861406163196443
2024-07-05,0.012712198486250045,0.009495921985370413,0.05819999999999996,0,1,GLOBAL,L2,0.31861406163196443
2024-07-06,0.006145677324468202,0.004024048115454621,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-07-07,0.003568576683702433,0.0021452467621738427,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-07-08,0.003699958714914607,0.0021929919225841454,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-07-09,0.0022337537988533266,0.0012249797420616278,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-07-10,0.001623826719719543,0.0008385976699201257,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-07-11,0.002116190672039519,0.0011425912959785206,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-07-12,0.001455098072220247,0.0007454396764566508,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-07-13,0.0017715200249639553,0.0009391132470527504,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-07-14,0.0037234022275978865,0.002332424960396172,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-07-15,0.006875777084459303,0.005003545332500594,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-07-16,0.013593046316644205,0.01146475828900704,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-07-17,0.012893475598462947,0.010160731687644621,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-07-18,0.006722314717925858,0.004440907673963878,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-07-19,0.00424549215153624,0.0025601383231790243,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-07-20,0.004605071144880984,0.002815654611630877,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-07-21,0.012443028370683002,0.009236290127354538,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-07-22,0.04652770230947366,0.04867444993059111,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
