rule_name,rule_type,n_folds_successful,f1_mean,precision_mean,recall_mean,accuracy_mean,f1_std,precision_std,recall_std,accuracy_std,f1_min,f1_max,f1_stability,tp_total,fp_total,tn_total,fn_total
anom_swh_p80_deseasonalized_detrended_max_14d > threshold,single,6,0.1602205082355942,0.11205325176675696,0.6906746031746032,0.8205479452054796,0.1534290034197875,0.12086792409670627,0.28875408397605323,0.09580034909563515,0.023255813953488372,0.38461538461538464,1.0442579982040914,31,373,1766,20
swh_p80_deseasonalized_detrended_std_14d > threshold,single,6,0.12379768592201368,0.07818953103429292,0.6325396825396825,0.8022831050228311,0.10953715414553045,0.07440970817038214,0.29277647617897734,0.0772275587330076,0.01834862385321101,0.27586206896551724,1.1301786750718683,26,408,1731,25
anom_swh_median_deseasonalized_detrended_mean_3d > threshold,single,6,0.17306984559352281,0.12780204012146226,0.6468253968253969,0.8799086757990867,0.14726969433944787,0.13400545467711286,0.30728740292595236,0.05823233802380143,0.043478260869565216,0.42105263157894735,1.1751818402825605,27,239,1900,24
swh_median_deseasonalized_detrended > threshold,single,6,0.21362058115169077,0.17441655566655567,0.7485119047619048,0.8789954337899543,0.18166464887122372,0.17997386245252756,0.27297848783117346,0.059229218562457484,0.046511627906976744,0.47368421052631576,1.1758996952864698,32,246,1893,19
swh_median_deseasonalized_detrended_mean_2d > threshold,single,6,0.19127543874053388,0.15330522530037755,0.6572420634920635,0.8785388127853881,0.17010867783374636,0.16338745884442202,0.30233417726583334,0.05803220042125027,0.034482758620689655,0.43902439024390244,1.1244242019403121,28,243,1896,23
anom_swh_p80_deseasonalized_detrended_mean_2d > threshold,single,6,0.18991520591328037,0.14115432634641736,0.7239087301587301,0.8621004566210044,0.17121228381808887,0.15393634809974158,0.2394960035060904,0.07158326188955408,0.044444444444444446,0.47368421052631576,1.1092317236030702,30,281,1858,21
anom_swe_mean > threshold,single,6,0.1807990184801779,0.1101974213321731,0.7386904761904761,0.8926940639269406,0.098511542474238,0.06632640644967215,0.25699262586807214,0.035146175376353714,0.07142857142857142,0.34285714285714286,1.8352893341216792,31,215,1924,20
anom_swh_max_deseasonalized_detrended_max_2d > threshold,single,6,0.22635105484900753,0.1760608105916024,0.8039682539682539,0.869406392694064,0.18464305599047828,0.17544283875609967,0.25466917167031455,0.10009065759868682,0.04838709677419355,0.47058823529411764,1.2258778309152827,33,268,1871,18
swh_p60_deseasonalized > threshold,single,6,0.24141930318400906,0.2133596801943576,0.6706349206349206,0.9196347031963471,0.19374033095169443,0.22226818366127846,0.31887581254250214,0.03472722071567405,0.058823529411764705,0.5333333333333333,1.2460908676435292,29,154,1985,22
swh_median_deseasonalized > threshold,single,6,0.24280513329737685,0.21120837283825397,0.6706349206349206,0.9214611872146118,0.19272427750066998,0.21768822541103017,0.31887581254250214,0.031508834561238847,0.058823529411764705,0.5333333333333333,1.2598509985102124,29,150,1989,22
